Id,Genre,Formatted Genre
tt0085862,"['Action', 'Crime', 'Drama']","action, crime, drama"
tt0085248,"['Adventure', 'Family']","adventure, family"
tt0087127,"['Adventure', 'Fantasy']","adventure, fantasy"
tt0086637,['Comedy'],comedy
tt0085867,['Thriller'],thriller
tt0085891,"['Comedy', 'Drama', 'Romance']","comedy, drama, romance"
tt0085694,"['Horror', 'Mystery', 'Thriller']","horror, mystery, thriller"
tt0085450,['Comedy'],comedy
tt0085412,"['Comedy', 'Crime']","comedy, crime"
tt0085271,"['Sci-Fi', 'Thriller']","scifi, thriller"
tt0085873,"['Comedy', 'Fantasy', 'Romance']","comedy, fantasy, romance"
tt0086593,"['Drama', 'Mystery']","drama, mystery"
tt0086373,['Comedy'],comedy
tt0086423,"['Drama', 'Music']","drama, music"
tt0086336,"['Fantasy', 'Mystery', 'Thriller']","fantasy, mystery, thriller"
tt0085121,"['Crime', 'Drama', 'Thriller']","crime, drama, thriller"
tt0086205,['Comedy'],comedy
tt0086014,"['Horror', 'Sci-Fi']","horror, scifi"
tt0085608,['Adventure'],adventure
tt0086058,"['Action', 'Drama', 'Thriller']","action, drama, thriller"
tt0086355,"['Biography', 'Drama']",documentary
tt0086370,"['Comedy', 'Crime']","comedy, crime"
tt0085159,['Horror'],horror
tt0085318,"['Action', 'Crime', 'Drama']","action, crime, drama"
tt0085236,"['Drama', 'Romance', 'Thriller']","drama, romance, thriller"
tt0085701,"['Fantasy', 'Horror', 'Romance']","fantasy, horror, romance"
tt0085859,"['Comedy', 'Drama']","comedy, drama"
tt0086510,"['Drama', 'War']","drama, war"
tt0086325,"['Comedy', 'Crime']","comedy, crime"
tt0086011,"['Drama', 'Romance']","drama, romance"
tt0086356,"['Drama', 'Mystery', 'Thriller']","drama, mystery, thriller"
tt0085461,['Drama'],drama
tt0085935,"['Adventure', 'Sci-Fi', 'Action']","adventure, scifi, action"
tt0084867,"['Action', 'Crime', 'Thriller']","action, crime, thriller"
tt0085475,"['Drama', 'Mystery', 'Music']","drama, mystery, music"
tt0085384,"['Comedy', 'Crime', 'Mystery']","comedy, crime, mystery"
tt0087746,['Horror'],horror
tt0086476,"['Comedy', 'Mystery', 'Thriller']","comedy, mystery, thriller"
tt0086618,"['Action', 'Adventure', 'Comedy']","action, adventure, comedy"
tt0085780,['Horror'],horror
tt0085764,['Comedy'],comedy
tt0086220,"['Drama', 'Sport']","drama, sport"
tt0086216,['Drama'],drama
tt0086405,"['Drama', 'Romance']","drama, romance"
tt0086461,"['Action', 'Drama', 'Romance']","action, drama, romance"
tt0085895,['Drama'],drama
tt0085933,"['Drama', 'War']","drama, war"
tt0086541,"['Horror', 'Sci-Fi']","horror, scifi"
tt0086264,['Comedy'],comedy
tt0086429,['Drama'],drama
tt0085208,"['Comedy', 'Drama', 'Romance']","comedy, drama, romance"
tt0084058,"['Drama', 'Romance']","drama, romance"
tt0086381,"['Action', 'Sci-Fi']","action, scifi"
tt0085551,"['Comedy', 'Music']","comedy, music"
tt0085838,['Drama'],drama
tt0086374,"['Horror', 'Mystery', 'Sci-Fi']","horror, mystery, scifi"
tt0085473,"['Action', 'Crime', 'Drama']","action, crime, drama"
tt0085868,['Comedy'],comedy
tt0085863,['Drama'],drama
tt0086036,['Horror'],horror
tt0085588,['Comedy'],comedy
tt0085542,"['Animation', 'Fantasy', 'Adventure']","animation, fantasy, adventure"
tt0086582,"['Adventure', 'Drama']","adventure, drama"
tt0086112,"['Comedy', 'Musical', 'Romance']",music
tt0085398,['Drama'],drama
tt0086377,"['Crime', 'Drama', 'War']","crime, drama, war"
tt0085656,"['Biography', 'Drama', 'Sport']",documentary
tt0086960,"['Action', 'Comedy', 'Crime']","action, comedy, crime"
tt0087332,"['Adventure', 'Comedy', 'Fantasy']","adventure, comedy, fantasy"
tt0087469,"['Action', 'Adventure']","action, adventure"
tt0087363,"['Comedy', 'Fantasy', 'Horror']","comedy, fantasy, horror"
tt0087538,"['Action', 'Drama', 'Family']","action, drama, family"
tt0087928,['Comedy'],comedy
tt0087277,"['Drama', 'Music', 'Romance']","drama, music, romance"
tt0088011,"['Action', 'Adventure', 'Comedy']","action, adventure, comedy"
tt0088170,"['Action', 'Adventure', 'Sci-Fi']","action, adventure, scifi"
tt0088161,"['Comedy', 'Fantasy', 'Romance']","comedy, fantasy, romance"
tt0087957,"['Drama', 'Music', 'Musical']",music
tt0086879,"['Biography', 'Drama', 'Music']",documentary
tt0088272,"['Mystery', 'Thriller']","mystery, thriller"
tt0087781,"['Drama', 'Sport']","drama, sport"
tt0087365,"['Adventure', 'Drama']","adventure, drama"
tt0088000,['Comedy'],comedy
tt0086837,"['Mystery', 'Sci-Fi', 'Thriller']","mystery, scifi, thriller"
tt0086998,"['Comedy', 'Drama', 'Music']","comedy, drama, music"
tt0086927,['Comedy'],comedy
tt0088247,"['Action', 'Sci-Fi']","action, scifi"
tt0087062,"['Action', 'Comedy', 'Crime']","action, comedy, crime"
tt0086873,"['Comedy', 'Fantasy', 'Romance']","comedy, fantasy, romance"
tt0087921,['Drama'],drama
tt0087553,"['Drama', 'History', 'War']","drama, history, war"
tt0087078,"['Action', 'Adventure', 'Fantasy']","action, adventure, fantasy"
tt0087182,"['Action', 'Adventure', 'Sci-Fi']","action, adventure, scifi"
tt0088172,"['Adventure', 'Drama', 'Romance']","adventure, drama, romance"
tt0087597,"['Action', 'Adventure', 'Sci-Fi']","action, adventure, scifi"
tt0087032,"['Action', 'Comedy']","action, comedy"
tt0088242,"['Comedy', 'Drama']","comedy, drama"
tt0087892,"['Adventure', 'Drama', 'History']","adventure, drama, history"
tt0087951,['Comedy'],comedy
tt0087089,"['Crime', 'Drama', 'Music']","crime, drama, music"
tt0087755,"['Comedy', 'Drama', 'Family']","comedy, drama, family"
tt0087800,['Horror'],horror
tt0088414,"['Comedy', 'Romance']","comedy, romance"
tt0087747,"['Comedy', 'Drama', 'Romance']","comedy, drama, romance"
tt0087265,"['Comedy', 'Drama', 'Romance']","comedy, drama, romance"
tt0088128,"['Comedy', 'Romance']","comedy, romance"
tt0087727,"['Action', 'Adventure', 'Drama']","action, adventure, drama"
tt0088146,"['Crime', 'Drama', 'Mystery']","crime, drama, mystery"
tt0086859,"['Action', 'Adventure', 'Crime']","action, adventure, crime"
tt0087835,"['Comedy', 'Fantasy']","comedy, fantasy"
tt0088001,"['Comedy', 'Music']","comedy, music"
tt0088385,['Comedy'],comedy
tt0088286,['Comedy'],comedy
tt0087425,"['Comedy', 'Romance', 'Sport']","comedy, romance, sport"
tt0088323,"['Adventure', 'Drama', 'Family']","adventure, drama, family"
tt0086955,"['Comedy', 'War']","comedy, war"
tt0159539,"['Comedy', 'Romance']","comedy, romance"
tt0087589,"['Action', 'Crime', 'Drama']","action, crime, drama"
tt0086896,"['Action', 'Crime', 'Thriller']","action, crime, thriller"
tt0087507,"['Action', 'Comedy', 'Crime']","action, comedy, crime"
tt0087262,"['Action', 'Horror', 'Sci-Fi']","action, horror, scifi"
tt0086946,"['Drama', 'Music']","drama, music"
tt0086999,"['Comedy', 'Drama', 'Musical']",music
tt0087050,['Horror'],horror
tt0087799,"['Comedy', 'Horror', 'Sci-Fi']","comedy, horror, scifi"
tt0088206,"['Action', 'Adventure', 'Fantasy']","action, adventure, fantasy"
tt0087451,"['Action', 'Adventure', 'Comedy']","action, adventure, comedy"
tt0087222,"['Action', 'Drama', 'Thriller']","action, drama, thriller"
tt0087482,"['Comedy', 'Drama', 'Romance']","comedy, drama, romance"
tt0087175,"['Adventure', 'Sci-Fi', 'Thriller']","adventure, scifi, thriller"
tt0088333,['Comedy'],comedy
tt0088007,['Drama'],drama
tt0088224,"['Action', 'Drama', 'Comedy']","action, drama, comedy"
tt0087233,"['Drama', 'Romance']","drama, romance"
tt0087384,"['Drama', 'Music']","drama, music"
tt0088402,"['Comedy', 'Drama']","comedy, drama"
tt0087003,['Comedy'],comedy
tt0088256,"['Drama', 'Thriller', 'Crime']","drama, thriller, crime"
tt0088249,"['Horror', 'Documentary', 'Thriller']","horror, documentary, thriller"
tt0087091,['Drama'],drama
tt0086987,"['Comedy', 'Romance']","comedy, romance"
tt0086984,"['Crime', 'Mystery', 'Thriller']","crime, mystery, thriller"
tt0087866,"['Comedy', 'Drama', 'Sport']","comedy, drama, sport"
tt0086993,"['Action', 'Adventure', 'Drama']","action, adventure, drama"
tt0087983,"['Drama', 'Romance', 'Comedy']","drama, romance, comedy"
tt0087910,"['Adventure', 'Drama', 'Romance']","adventure, drama, romance"
tt0088194,"['Action', 'Crime', 'Drama']","action, crime, drama"
tt0087525,"['Comedy', 'Music', 'Romance']","comedy, music, romance"
tt0087629,['Thriller'],thriller
tt0087452,"['Drama', 'Sci-Fi']","drama, scifi"
tt0087385,['Comedy'],comedy
tt0086877,"['Crime', 'Drama', 'Thriller']","crime, drama, thriller"
tt0087932,"['Action', 'Comedy', 'Crime']","action, comedy, crime"
tt0088024,"['Action', 'Crime', 'Sci-Fi']","action, crime, scifi"
tt0088213,"['Drama', 'Romance', 'War']","drama, romance, war"
tt0087980,"['Drama', 'Romance', 'War']","drama, romance, war"
tt0086856,"['Adventure', 'Comedy', 'Romance']","adventure, comedy, romance"
tt0087263,"['Drama', 'Thriller']","drama, thriller"
tt0087968,"['Comedy', 'Drama', 'Romance']","comedy, drama, romance"
tt0088103,"['Adventure', 'Fantasy']","adventure, fantasy"
tt0087635,['Comedy'],comedy
tt0087843,"['Crime', 'Drama']","crime, drama"
tt0087428,"['Comedy', 'Drama', 'Romance']","comedy, drama, romance"
tt0086886,"['Comedy', 'Crime', 'Romance']","comedy, crime, romance"
tt0087810,"['Comedy', 'Drama', 'Music']","comedy, drama, music"
tt0088178,"['Documentary', 'Music']","documentary, music"
tt0087359,['Drama'],drama
tt0087015,"['Horror', 'Sci-Fi']","horror, scifi"
tt0087666,"['Comedy', 'Romance', 'Sport']","comedy, romance, sport"
tt0088258,"['Comedy', 'Music']","comedy, music"
tt0087513,"['Comedy', 'Romance']","comedy, romance"
tt0087751,"['Drama', 'Romance']","drama, romance"
tt0088330,"['Drama', 'Romance']","drama, romance"
tt0087004,"['Comedy', 'Sci-Fi']","comedy, scifi"
tt0088379,"['Adventure', 'Fantasy']","adventure, fantasy"
tt0087464,"['Horror', 'Mystery', 'Sci-Fi']","horror, mystery, scifi"
tt0088322,['Drama'],drama
tt0088117,"['Horror', 'Thriller']","horror, thriller"
tt0087054,"['Comedy', 'Drama', 'Romance']","comedy, drama, romance"
tt0088184,"['Comedy', 'Drama']","comedy, drama"
tt0088318,['Drama'],drama
tt0087197,"['Comedy', 'Drama', 'Music']","comedy, drama, music"
tt0087884,['Drama'],drama
tt0087956,"['Drama', 'War']","drama, war"
tt0087688,['Drama'],drama
tt0086985,"['Drama', 'Music', 'Musical']",music
tt0087730,['Drama'],drama
tt0087313,"['Comedy', 'Drama']","comedy, drama"
tt0087260,['Comedy'],comedy
tt0086969,"['Drama', 'War']","drama, war"
tt0088006,"['Adventure', 'Crime', 'Drama']","adventure, crime, drama"
tt0087722,"['Drama', 'Mystery', 'Thriller']","drama, mystery, thriller"
tt0087072,['Comedy'],comedy
tt0086992,"['Drama', 'Romance']","drama, romance"
tt0088153,"['Drama', 'Music']","drama, music"
tt0088046,['Comedy'],comedy
tt0088176,['Drama'],drama
tt0085320,"['Biography', 'Drama', 'Romance']",documentary
tt0087981,"['Horror', 'Thriller']","horror, thriller"
tt0087096,"['Adventure', 'Comedy', 'Crime']","adventure, comedy, crime"
tt0087995,"['Comedy', 'Crime', 'Sci-Fi']","comedy, crime, scifi"
tt0088763,"['Adventure', 'Comedy', 'Sci-Fi']","adventure, comedy, scifi"
tt0089880,"['Action', 'Adventure', 'Thriller']","action, adventure, thriller"
tt0089927,"['Drama', 'Sport']","drama, sport"
tt0088939,['Drama'],drama
tt0089755,"['Biography', 'Drama', 'Romance']",documentary
tt0088933,['Sci-Fi'],scifi
tt0089370,"['Action', 'Adventure', 'Comedy']","action, adventure, comedy"
tt0090329,"['Crime', 'Drama', 'Romance']","crime, drama, romance"
tt0089218,"['Adventure', 'Comedy', 'Family']","adventure, comedy, family"
tt0090056,"['Adventure', 'Comedy']","adventure, comedy"
tt0089822,['Comedy'],comedy
tt0089155,"['Comedy', 'Crime', 'Mystery']","comedy, crime, mystery"
tt0090264,"['Action', 'Adventure', 'Thriller']","action, adventure, thriller"
tt0089670,['Comedy'],comedy
tt0089560,"['Biography', 'Drama']",documentary
tt0088847,"['Comedy', 'Drama']","comedy, drama"
tt0090319,['Drama'],drama
tt0089767,['Western'],western
tt0089791,"['Adventure', 'Comedy', 'Family']","adventure, comedy, family"
tt0088850,['Comedy'],comedy
tt0089360,"['Crime', 'Thriller', 'Mystery']","crime, thriller, mystery"
tt0090060,"['Drama', 'Romance']","drama, romance"
tt0089530,"['Action', 'Adventure', 'Sci-Fi']","action, adventure, scifi"
tt0088944,"['Action', 'Adventure', 'Thriller']","action, adventure, thriller"
tt0090142,"['Comedy', 'Fantasy']","comedy, fantasy"
tt0090022,"['Action', 'Crime', 'Drama']","action, crime, drama"
tt0089643,"['Comedy', 'Drama', 'Romance']","comedy, drama, romance"
tt0089686,"['Fantasy', 'Horror']","fantasy, horror"
tt0089017,"['Comedy', 'Drama']","comedy, drama"
tt0089841,"['Comedy', 'Crime', 'Drama']","comedy, crime, drama"
tt0089461,"['Action', 'Comedy', 'Drama']","action, comedy, drama"
tt0088683,"['Drama', 'Mystery']","drama, mystery"
tt0089175,"['Fantasy', 'Horror', 'Thriller']","fantasy, horror, thriller"
tt0090098,"['Comedy', 'Romance']","comedy, romance"
tt0089087,"['Action', 'Adventure', 'Drama']","action, adventure, drama"
tt0090305,"['Comedy', 'Romance', 'Sci-Fi']","comedy, romance, scifi"
tt0088885,"['Animation', 'Adventure', 'Comedy']","animation, adventure, comedy"
tt0088814,"['Animation', 'Adventure', 'Family']","animation, adventure, family"
tt0088936,"['Action', 'Crime', 'Drama']","action, crime, drama"
tt0090274,['Comedy'],comedy
tt0090357,"['Adventure', 'Fantasy', 'Mystery']","adventure, fantasy, mystery"
tt0090350,"['Action', 'Crime', 'Drama']","action, crime, drama"
tt0089457,"['Adventure', 'Drama', 'Fantasy']","adventure, drama, fantasy"
tt0090103,"['Comedy', 'Drama', 'Romance']","comedy, drama, romance"
tt0089348,"['Action', 'Thriller']","action, thriller"
tt0090180,"['Action', 'Crime', 'Drama']","action, crime, drama"
tt0087231,"['Biography', 'Crime', 'Drama']",documentary
tt0089424,"['Drama', 'Romance']","drama, romance"
tt0089003,"['Action', 'Crime', 'Drama']","action, crime, drama"
tt0089421,"['Action', 'Adventure', 'Comedy']","action, adventure, comedy"
tt0088760,"['Family', 'Adventure', 'Sci-Fi']","family, adventure, scifi"
tt0088930,"['Comedy', 'Crime', 'Mystery']","comedy, crime, mystery"
tt0089901,"['Action', 'Adventure', 'Comedy']","action, adventure, comedy"
tt0089907,"['Comedy', 'Horror', 'Sci-Fi']","comedy, horror, scifi"
tt0088915,"['Drama', 'Music', 'Musical']",music
tt0090184,['Comedy'],comedy
tt0089731,"['Family', 'Fantasy']","family, fantasy"
tt0088889,"['Comedy', 'Horror', 'Thriller']","comedy, horror, thriller"
tt0090270,"['Drama', 'Romance', 'Sport']","drama, romance, sport"
tt0089886,"['Comedy', 'Romance', 'Sci-Fi']","comedy, romance, scifi"
tt0089798,"['Drama', 'Romance']","drama, romance"
tt0088947,"['Comedy', 'Drama', 'Mystery']","comedy, drama, mystery"
tt0090021,['Horror'],horror
tt0089092,"['Action', 'Adventure', 'Drama']","action, adventure, drama"
tt0089489,"['Action', 'Horror', 'Sci-Fi']","action, horror, scifi"
tt0089393,"['Comedy', 'Romance']","comedy, romance"
tt0089444,"['Comedy', 'Drama', 'Music']","comedy, drama, music"
tt0089222,"['Action', 'Comedy', 'Mystery']","action, comedy, mystery"
tt0089853,"['Comedy', 'Fantasy', 'Romance']","comedy, fantasy, romance"
tt0089629,['Comedy'],comedy
tt0088680,"['Comedy', 'Crime', 'Drama']","comedy, crime, drama"
tt0088708,"['Action', 'Adventure', 'Romance']","action, adventure, romance"
tt0088794,"['Comedy', 'Romance']","comedy, romance"
tt0089504,['Comedy'],comedy
tt0089730,"['Comedy', 'Horror']","comedy, horror"
tt0088846,"['Drama', 'Sci-Fi']","drama, scifi"
tt0089114,"['Adventure', 'Comedy', 'Family']","adventure, comedy, family"
tt0089385,"['Family', 'Adventure']","family, adventure"
tt0090213,"['Action', 'Drama']","action, drama"
tt0090110,"['Biography', 'Drama', 'Music']",documentary
tt0090130,"['Action', 'Adventure', 'Crime']","action, adventure, crime"
tt0089601,"['Comedy', 'Romance']","comedy, romance"
tt0089543,"['Comedy', 'Thriller']","comedy, thriller"
tt0090151,"['Crime', 'Drama']","crime, drama"
tt0089981,"['Comedy', 'Romance']","comedy, romance"
tt0090073,"['Action', 'Crime', 'Drama']","action, crime, drama"
tt0090223,"['Drama', 'Romance']","drama, romance"
tt0088979,"['Family', 'Sci-Fi']","family, scifi"
tt0089941,"['Action', 'Adventure', 'Drama']","action, adventure, drama"
tt0089346,"['Comedy', 'Drama', 'Thriller']","comedy, drama, thriller"
tt0090203,['Drama'],drama
tt0090196,"['Comedy', 'Fantasy', 'Horror']","comedy, fantasy, horror"
tt0089893,"['Action', 'Adventure', 'Fantasy']","action, adventure, fantasy"
tt0089272,"['Animation', 'Adventure', 'Family']","animation, adventure, family"
tt0089208,"['Comedy', 'Music', 'Romance']","comedy, music, romance"
tt0089264,"['Comedy', 'Drama', 'Romance']","comedy, drama, romance"
tt0089243,"['Action', 'Drama']","action, drama"
tt0088757,"['Action', 'Crime', 'Thriller']","action, crime, thriller"
tt0088960,"['Comedy', 'Romance', 'Sci-Fi']","comedy, romance, scifi"
tt0089420,"['Adventure', 'Biography', 'Drama']",documentary
tt0088993,['Horror'],horror
tt0089877,"['Animation', 'Adventure', 'Family']","animation, adventure, family"
tt0089572,"['Crime', 'Thriller']","crime, thriller"
tt0090152,"['Documentary', 'Musical']",music
tt0089652,"['Action', 'Adventure', 'Comedy']","action, adventure, comedy"
tt0089265,"['Comedy', 'Fantasy', 'Romance']","comedy, fantasy, romance"
tt0089881,"['Action', 'Drama', 'War']","action, drama, war"
tt0090217,"['Action', 'Comedy', 'Drama']","action, comedy, drama"
tt0088851,"['Fantasy', 'Horror', 'Romance']","fantasy, horror, romance"
tt0090065,"['Adventure', 'Animation', 'Sci-Fi']","adventure, animation, scifi"
tt0089167,['Comedy'],comedy
tt0089470,"['Action', 'Drama']","action, drama"
tt0089883,"['Drama', 'Music', 'Musical']",music
tt0089129,"['Drama', 'Musical']",music
tt0089304,['Comedy'],comedy
tt0088765,['Comedy'],comedy
tt0089569,['Comedy'],comedy
tt0089555,['Drama'],drama
tt0088987,"['Biography', 'Crime', 'Drama']",documentary
tt0089869,"['Drama', 'Mystery', 'Sci-Fi']","drama, mystery, scifi"
tt0089885,"['Comedy', 'Horror', 'Sci-Fi']","comedy, horror, scifi"
tt0090293,"['Drama', 'Sci-Fi', 'Thriller']","drama, scifi, thriller"
tt0088855,"['Documentary', 'Music']","documentary, music"
tt0090036,"['Comedy', 'Music', 'Romance']","comedy, music, romance"
tt0088707,"['Drama', 'Sport']","drama, sport"
tt0088895,"['Action', 'Drama']","action, drama"
tt0090310,"['Drama', 'Mystery']","drama, mystery"
tt0089052,"['Biography', 'Comedy', 'Drama']",documentary
tt0087130,"['Action', 'Sci-Fi']","action, scifi"
tt0089160,['Drama'],drama
tt0089523,"['Comedy', 'Western']","comedy, western"
tt0089383,"['Comedy', 'Drama']","comedy, drama"
tt0089622,"['Comedy', 'Sci-Fi']","comedy, scifi"
tt0089603,"['Biography', 'Drama']",documentary
tt0089283,"['Action', 'Crime', 'Drama']","action, crime, drama"
tt0090095,"['Comedy', 'Drama', 'Thriller']","comedy, drama, thriller"
tt0090112,"['Drama', 'Family']","drama, family"
tt0089913,"['Adventure', 'Drama', 'History']","adventure, drama, history"
tt0089839,['Comedy'],comedy
tt0089079,"['Drama', 'War']","drama, war"
tt0089679,"['Drama', 'Horror', 'Thriller']","drama, horror, thriller"
tt0089034,"['Horror', 'Drama']","horror, drama"
tt0086876,"['Comedy', 'Drama']","comedy, drama"
tt0089126,"['Comedy', 'Drama']","comedy, drama"
tt0090323,"['Adventure', 'Thriller', 'Action']","adventure, thriller, action"
tt0089276,"['Drama', 'History', 'War']","drama, history, war"
tt0090209,"['Comedy', 'Crime', 'Drama']","comedy, crime, drama"
tt0090037,"['Drama', 'Romance', 'Thriller']","drama, romance, thriller"
tt0089748,['Drama'],drama
tt0089716,"['Biography', 'Drama', 'History']",documentary
tt0092099,"['Action', 'Drama', 'Romance']","action, drama, romance"
tt0090555,"['Adventure', 'Comedy']","adventure, comedy"
tt0091763,"['Drama', 'War']","drama, war"
tt0091326,"['Action', 'Family', 'Romance']","action, family, romance"
tt0092007,"['Adventure', 'Comedy', 'Sci-Fi']","adventure, comedy, scifi"
tt0090685,"['Comedy', 'Romance', 'Sport']","comedy, romance, sport"
tt0090605,"['Action', 'Horror', 'Sci-Fi']","action, horror, scifi"
tt0091129,"['Action', 'Adventure', 'Comedy']","action, adventure, comedy"
tt0091877,"['Comedy', 'Crime']","comedy, crime"
tt0091042,['Comedy'],comedy
tt0090966,['Comedy'],comedy
tt0090863,"['Drama', 'Sport']","drama, sport"
tt0092005,"['Adventure', 'Drama']","adventure, drama"
tt0091396,"['Comedy', 'Crime', 'Romance']","comedy, crime, romance"
tt0090859,"['Action', 'Crime', 'Thriller']","action, crime, thriller"
tt0090633,"['Animation', 'Comedy', 'Drama']","animation, comedy, drama"
tt0091777,['Comedy'],comedy
tt0091187,"['Action', 'Comedy', 'Drama']","action, comedy, drama"
tt0091738,"['Comedy', 'Drama', 'Fantasy']","comedy, drama, fantasy"
tt0091778,['Horror'],horror
tt0091949,"['Comedy', 'Family', 'Sci-Fi']","comedy, family, scifi"
tt0091790,"['Comedy', 'Drama', 'Romance']","comedy, drama, romance"
tt0091064,"['Drama', 'Horror', 'Sci-Fi']","drama, horror, scifi"
tt0092086,"['Comedy', 'Western']","comedy, western"
tt0091419,"['Comedy', 'Musical', 'Sci-Fi']",music
tt0090583,"['Comedy', 'Drama', 'Romance']","comedy, drama, romance"
tt0091875,"['Action', 'Comedy', 'Crime']","action, comedy, crime"
tt0091541,['Comedy'],comedy
tt0091159,"['Comedy', 'Drama']","comedy, drama"
tt0091167,"['Comedy', 'Drama']","comedy, drama"
tt0091653,"['Comedy', 'Drama', 'Romance']","comedy, drama, romance"
tt0090830,"['Drama', 'Romance']","drama, romance"
tt0091306,"['Comedy', 'Romance', 'Thriller']","comedy, romance, thriller"
tt0091217,"['Drama', 'Sport']","drama, sport"
tt0091991,"['Comedy', 'Romance']","comedy, romance"
tt0092214,"['Comedy', 'Sport']","comedy, sport"
tt0091149,"['Animation', 'Adventure', 'Family']","animation, adventure, family"
tt0091188,"['Comedy', 'Drama']","comedy, drama"
tt0091554,"['Crime', 'Mystery', 'Romance']","crime, mystery, romance"
tt0091278,"['Action', 'Thriller', 'War']","action, thriller, war"
tt0090886,"['Comedy', 'Drama']","comedy, drama"
tt0092105,['Comedy'],comedy
tt0089118,"['Action', 'Thriller']","action, thriller"
tt0091080,"['Horror', 'Thriller']","horror, thriller"
tt0091223,"['Comedy', 'Fantasy', 'Horror']","comedy, fantasy, horror"
tt0091059,"['Adventure', 'Family', 'Sci-Fi']","adventure, family, scifi"
tt0091295,"['Biography', 'Comedy', 'Drama']",documentary
tt0090927,"['Action', 'Adventure', 'Drama']","action, adventure, drama"
tt0091530,"['Adventure', 'Drama', 'History']","adventure, drama, history"
tt0091225,"['Action', 'Adventure', 'Comedy']","action, adventure, comedy"
tt0091828,"['Action', 'Crime', 'Thriller']","action, crime, thriller"
tt0090660,"['Action', 'Comedy', 'Crime']","action, comedy, crime"
tt0092272,"['Drama', 'Romance', 'Sport']","drama, romance, sport"
tt0091557,"['Adventure', 'Drama', 'Thriller']","adventure, drama, thriller"
tt0092035,['Comedy'],comedy
tt0091680,"['Comedy', 'Romance']","comedy, romance"
tt0091024,"['Drama', 'Thriller']","drama, thriller"
tt0090887,"['Action', 'Comedy', 'Horror']","action, comedy, horror"
tt0090655,"['Horror', 'Mystery']","horror, mystery"
tt0091369,"['Adventure', 'Family', 'Fantasy']","adventure, family, fantasy"
tt0090856,['Comedy'],comedy
tt0091637,"['Crime', 'Drama']","crime, drama"
tt0090774,['Comedy'],comedy
tt0091055,"['Action', 'Adventure', 'Comedy']","action, adventure, comedy"
tt0090728,"['Action', 'Adventure', 'Comedy']","action, adventure, comedy"
tt0092133,"['Comedy', 'Drama', 'Music']","comedy, drama, music"
tt0091575,"['Action', 'Crime', 'Drama']","action, crime, drama"
